name,cas,cid,smiles,activity_result,toxicity_result,availability_result,activity_summary,toxicity_summary,availability_summary,activity_brief,activity_label,toxicity_brief,toxicity_label,availability_brief,availability_label,overall_evaluation,recommended_for_experiment
Mallorepine,767-98-6,13027,CN1C=CC(=O)C(=C1)C#N,"I'm sorry, but I couldn't find any biological activity data for the molecule with PubChem CID 13027 in the ChEMBL database. This could mean that the molecule has not been extensively studied or that the data is not yet available in the ChEMBL database.","I encountered an issue while retrieving the toxicity data for Mallorepine (CAS number 767-98-6) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. Apologies for not being able to provide the toxicity information you requested.",I was unable to retrieve the compound price information for the provided SMILES. There might be an issue with the SMILES string or the connection to the API. I can only access compound availability information through the get_compound_prices_from_smiles tool. I am unable to provide information about activity and toxicity.,No biological activity data was found for the molecule in the ChEMBL database.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,Compound price information could not be retrieved due to issues with SMILES string or API connection.,No activity data,No data,Toxicity data unavailable,No data,Availability unknown,No data,"Insufficient data is available to assess the molecule's suitability. No information on activity, toxicity, or availability could be retrieved.",20
4-Amino-5-hydroxymethyl-2-methylpyrimidine,73-67-6,777,CC1=NC=C(C(=N1)N)CO,"The molecule 4-Amino-5-hydroxymethyl-2-methylpyrimidine (PubChem CID: 777) has been tested for biological activity against several organisms. Here's a summary of the findings:

*   **Candida albicans:** Showed an average inhibition of -0.12% in an antifungal assay.
*   **Cryptococcus neoformans:** Showed an average inhibition of -45.32% in an antifungal assay.
*   **Escherichia coli:** Showed an average inhibition of -19.21% in an antibacterial assay.
*   **Klebsiella pneumoniae:** Showed an average inhibition of -2.19% in an antibacterial assay.
*   **Pseudomonas aeruginosa:** Showed an average inhibition of -5.34% in an antibacterial assay.
*   **Acinetobacter baumannii:** Showed an average inhibition of -2.97% in an antibacterial assay.
*   **Staphylococcus aureus:** Showed an average inhibition of 1.81% in an antibacterial assay.

Please note that these are inhibition percentages, and the assays used a variety of methods for measurement.","I encountered an issue while trying to fetch the toxicity data for the molecule with CAS number 73-67-6 from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. Apologies for not being able to provide the toxicity information you requested.","OK. I have analyzed the availability of the molecule with SMILES CC1=NC=C(C(=N1)N)CO. The molecule is available and in stock (MCULE-7050395274). The best prices are: 1mg for $7, 5mg for $7, and 10mg for $7, with a delivery time of 14 working days. The confirmed amount is 1000mg.","The molecule shows varying inhibition percentages against different organisms. It shows a strong inhibition of Cryptococcus neoformans (-45.32%), moderate inhibition of Escherichia coli (-19.21%), and low or no inhibition against the other tested organisms. Several of the inhibition values are negative.",Toxicity data retrieval failed due to an unexpected data format from the EPA database.,"The molecule is available in stock with a confirmed amount of 1000mg. The price is $7 for 1mg, 5mg, or 10mg, and the delivery time is 14 working days.",Antifungal and antibacterial activity,"Antifungal, Antibacterial",Toxicity data unavailable,No data,"In stock, reasonable price",In stock,"The molecule shows some antifungal activity against Cryptococcus neoformans, but the antibacterial activity is generally low or negative. Toxicity data is missing, which is a significant concern. The molecule is readily available. Overall, the mixed activity profile and lack of toxicity data make it a moderate candidate for further investigation.",50
"6-Hydroxymethyl-7,8-dihydropterin",3672/3/5,135398568,C1C(=NC2=C(N1)NC(=NC2=O)N)CO,"The compound with PubChem CID 135398568 has one activity record in the ChEMBL database. It shows inhibition of Escherichia coli dihydroneopterin aldolase with an ID50 value of 30.0 ug/ml. The assay measured the formation of [14C]glycolaldehyde using [14C]neopterin as a substrate, and the measurement was done by scintillation counting. The target name is ""Unchecked"".","I encountered an issue while retrieving the toxicity data for the molecule with CAS number 3672-03-5 from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I apologize for any inconvenience.",I was unable to retrieve the compound price information for the requested SMILES. There might be an issue with the SMILES or with the availability of this compound in the MCULE database. I am unable to provide activity and toxicity information with the available tools.,The compound inhibits Escherichia coli dihydroneopterin aldolase with an ID50 of 30.0 ug/ml.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,Compound price information could not be retrieved from the MCULE database.,enzyme inhibitor,Enzyme Inhibitor,toxicity data unavailable,No data,availability unknown,No data,"The compound demonstrates activity as an Escherichia coli dihydroneopterin aldolase inhibitor. However, toxicity data is unavailable, and the compound's availability is uncertain. Further investigation is needed to assess its suitability.",50
2-(Pyridin-3-yl)piperidine-1-carbaldehyde,2591-83-5,55250656,O=CN1CCCCC1C=2C=NC=CC2,"I'm sorry, but I couldn't find any activity data for the molecule with PubChem CID 55250656 in the ChEMBL database.","I encountered an issue while fetching the toxicity data for the molecule with CAS number 2591-83-5. The EPA database returned the data in an unexpected format, which I was unable to process. I will need to investigate further to resolve this issue. I am unable to provide the toxicity information at this time.","The molecule 2-(Pyridin-3-yl)piperidine-1-carbaldehyde (SMILES: O=CN1CCCCC1C=2C=NC=CC2) is potentially purchasable. The best prices available are:

*   1 mg: $1798 USD, 95% purity, 26 working days delivery
*   5 mg: $1798 USD, 95% purity, 26 working days delivery
*   10 mg: $1798 USD, 95% purity, 26 working days delivery",No activity data was found for the molecule in the ChEMBL database.,Toxicity data could not be retrieved from the EPA database due to an unexpected format.,"The molecule is potentially purchasable, but the prices are high ($1798 USD for 1-10 mg) with a long delivery time (26 working days).",No activity data,No data,No toxicity data,No data,"Potentially purchasable, high price","In stock, expensive","Due to the absence of activity and toxicity data, coupled with the high price and long delivery time, it is difficult to assess the molecule's suitability. Further investigation is needed before considering experimental validation.",20
Cytisine-12-carboxyethyl ester,132216-16-1,11065243,CCOC(=O)N1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2,"I'm sorry, but I couldn't find any activity data for the molecule with PubChem CID 11065243 in the ChEMBL database.","I encountered an issue while trying to fetch the toxicity data for Cytisine-12-carboxyethyl ester with CAS number 132216-16-1. The EPA database returned the data in an unexpected format, which I am unable to process at this time. Please try again or check the CAS number.","I was unable to retrieve the compound price information. There might be an issue with the SMILES string or the server. Please try again, or check the SMILES string.",No activity data was found in the ChEMBL database for the specified molecule.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"Compound price information could not be retrieved, possibly due to issues with the SMILES string or server problems.",No activity data,No data,Toxicity data unavailable,No data,Price data unavailable,No data,"Due to the absence of activity, toxicity, and availability data, a comprehensive evaluation is not possible. The compound's suitability cannot be determined at this time.",20
5'-Deoxy-5'-methylthioadenosine,2457-80-9,439176,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,"Based on the ChEMBL database analysis for the molecule 5'-Deoxy-5'-methylthioadenosine (PubChem CID: 439176), here's a summary of the biological activity data:

*   **Adenosine Receptors:** It binds to adenosine receptors, with an affinity constant of 10.0 uM for the A2 receptor in human cells and a Ki of 150.0 nM for the A1 receptor in rat cortical membranes.
*   **L1210 Murine Leukemia Cells:** It inhibits the growth of L1210 murine leukemia cells with an IC50 of 600000.0 nM.
*   **Escherichia coli DNA Methyltransferase:** It is not active against Escherichia coli DNA methyltransferase at 15 uM.
*   **Thermotoga maritima S-adenosyl-homocysteine deaminase:** It is a substrate for Thermotoga maritima S-adenosyl-homocysteine deaminase with a Km of 44000.0 nM.
*   **Plasmodium falciparum spermidine synthase:** It inhibits Plasmodium falciparum spermidine synthase with an IC50 of 159000.0 nM.
*   **Trypanosoma brucei brucei:** It exhibits antitrypanosomal activity against Trypanosoma brucei brucei with an IC50 of 100000.0 nM.","The molecule 5'-Deoxy-5'-methylthioadenosine (CAS number 2457-80-9) has the following toxicity information:

*   **Species:** Mouse
*   **Exposure Route:** Oral
*   **Risk Assessment Class:** Acute
*   **Toxicity Value:** LD50 > 1000.0 mg/kg

This indicates that the acute oral LD50 in mice is greater than 1000.0 mg/kg.","The molecule 5'-Deoxy-5'-methylthioadenosine (SMILES: CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O) is available in stock (availability type: in stock, confirmed amount: 167mg, confirmed amount unit: mg, MCULE ID: MCULE-7451251006). Here are some of the best prices:
- 1 mg, 97% purity: $6 USD, delivery in 22 working days
- 5 mg, 97% purity: $34 USD, delivery in 20 working days
- 10 mg, 97% purity: $34 USD, delivery in 20 working days","5'-Deoxy-5'-methylthioadenosine binds to adenosine receptors, inhibits L1210 murine leukemia cells, Plasmodium falciparum spermidine synthase, and Trypanosoma brucei brucei. It is a substrate for Thermotoga maritima S-adenosyl-homocysteine deaminase and is not active against Escherichia coli DNA methyltransferase.",The acute oral LD50 of 5'-Deoxy-5'-methylthioadenosine in mice is greater than 1000.0 mg/kg.,5'-Deoxy-5'-methylthioadenosine is in stock with a confirmed amount of 167mg. It is available for purchase at prices such as $6 USD for 1mg (97% purity) with a delivery time of 22 working days.,"Adenosine receptor binder, antiparasitic, leukemia cell inhibitor.","Adenosine receptor binder, Antiparasitic, Leukemia cell inhibitor",Low acute oral toxicity in mice.,,"In stock, reasonable price.",In stock,"The molecule shows activity against parasites and leukemia cells, with relatively low acute toxicity in mice. It is readily available and reasonably priced. Therefore, further investigation is warranted.",75
5-Methylcytosine,554-01-8,65040,CC1=C(NC(=O)N=C1)N,"I'm sorry, but I couldn't find any activity data for the molecule with PubChem CID 65040 in the ChEMBL database.","The toxicity data for 5-Methylcytosine (CAS number 554-01-8) indicates the following:

*   **Green Algae:**
    *   EC50 (aqueous exposure): 2,980,000 mg/m3
    *   EC10 (aqueous exposure): 947,000 mg/m3
    *   Chronic EC10: 947.0 mg/L","The compound 5-Methylcytosine (SMILES: CC1=C(NC(=O)N=C1)N) is available in stock with MCULE ID MCULE-3789550079. The best prices are:

*   1 mg for 6 USD (99% purity, 14 working days delivery)
*   5 mg for 6 USD (99% purity, 14 working days delivery)
*   10 mg for 6 USD (99% purity, 14 working days delivery)",No activity data was found in the ChEMBL database for PubChem CID 65040.,"The compound 5-Methylcytosine shows toxicity towards green algae, with reported EC50, EC10 (aqueous exposure), and Chronic EC10 values.","5-Methylcytosine is available in stock with MCULE ID MCULE-3789550079. Prices range from 6 USD for 1mg to 6 USD for 10mg, with 99% purity and a 14-day delivery time.",No activity data,No data,Aquatic toxicity,,In stock and reasonable price,In stock,The molecule's activity against target organisms is unknown. It exhibits toxicity towards green algae. It is readily available at a low cost. The unknown activity is a significant concern.,30
5-Methyluridine,1463-10-1,445408,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,"The molecule 5-Methyluridine (PubChem CID: 445408) has the following activity data:
- It has a ""MCC > 400.0 ug.mL-1"" in PRK cells, which means the concentration required for microscopically detectable alteration of the normal cell morphology in PRK cells is greater than 400.0 ug/mL. The target is ADMET.
- It has a ""MCC > 400.0 ug.mL-1"" in HeLa cells (Homo sapiens), which means the concentration required for microscopically detectable alteration of the normal cell morphology in HeLa cells is greater than 400.0 ug/mL. The target is HeLa.
- It has a ""MCC > 400.0 ug.mL-1"" in Vero B cells (Chlorocebus sabaeus), which means the concentration required for microscopically detectable alteration of the normal cell morphology in Vero B cells is greater than 400.0 ug/mL. The target is Vero.","I encountered an issue while trying to fetch the toxicity data for 5-Methyluridine (CAS number 1463-10-1) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I will need to investigate this issue further to provide you with the toxicity information.","The compound 5-Methyluridine (SMILES: CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O) is available in stock with MCULE ID MCULE-5068335226. However, I don't have information on the best prices or confirmed amounts.","5-Methyluridine shows alteration of cell morphology at concentrations greater than 400.0 ug/mL in PRK, HeLa, and Vero B cells.",Toxicity data from the EPA database could not be processed due to an unexpected format.,5-Methyluridine is in stock (MCULE-5068335226) but price and amount information are unavailable.,Cell morphology alteration at high concentrations,Cell morphology alteration,Toxicity data unavailable,No data,"In stock, price unknown",In stock,"The compound shows limited activity in the tested cell lines, as the concentration needed to alter the cell morphology is greater than 400 ug/mL. The toxicity data is unavailable, which is a significant drawback. It is in stock, but the lack of pricing information makes it difficult to assess its suitability. Therefore, due to the lack of toxicity and high activity concentration, the compound is less suitable for immediate validation.",40
Pilocarpidine,127-67-3,101603,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2,"I'm sorry, but I couldn't retrieve any activity information for Pilocarpidine with PubChem CID 101603 from the ChEMBL database.","I encountered an issue while fetching the toxicity data for Pilocarpidine (CAS number 127-67-3) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. Apologies for not being able to provide the toxicity information you requested.",I was unable to retrieve the compound price information for Pilocarpidine using the provided SMILES string. There might be an issue with the SMILES string or the availability of the compound in the MCULE database. I recommend checking the SMILES string for accuracy or trying again later.,No activity information was found for Pilocarpidine in the ChEMBL database.,The EPA toxicity data for Pilocarpidine could not be processed due to an unexpected data format.,Compound price information for Pilocarpidine could not be retrieved from the MCULE database using the provided SMILES string.,No activity data,No data,Toxicity data unavailable,No data,Availability data unavailable,No data,"Due to the absence of data regarding activity, toxicity, and availability, a comprehensive evaluation of Pilocarpidine's suitability is not possible.",20
Cotinine,486-56-6,854019,CN1[C@@H](CCC1=O)C2=CN=CC=C2,"Cotinine, PubChem CID 854019, has the following activity data:

*   **Cytochrome P450 Inhibition:** IC50 values of 5400000.0 nM against human CYP1A2 and 1500000.0 nM against mouse CYP2A5.
*   **Antiplasmodial Activity:** IC50 of 12589.25 nM against Plasmodium falciparum.
*   **Acetylcholinesterase Inhibition:** 28.65% inhibition of electric eel AChE at 2 mg/ml.
*   **Cholinesterase Inhibition:** -0.23% inhibition of horse BChE at 2 mg/ml.
*   **nAChR Binding:** Ki > 1000000.0 nM for nAChR in Musca domestica.
*   **Antiviral Activity:** -6.19% inhibition of SARS-CoV-2 induced cytotoxicity at 10 uM.
*   **Antifungal Activity:** Showed some inhibition against Candida albicans, Cryptococcus neoformans
*   **Antibacterial Activity:** Showed some inhibition against Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Acinetobacter baumannii, Staphylococcus aureus
*   **Neuronal acetylcholine receptor agonist:** EC50 = 21000.0 nM at alpha4beta2 nAChR in rat frontal cortex membrane","Based on the EPA data for Cotinine (CAS number 486-56-6):

- For Inflated Duckweed, the toxicity values (EC50, EC25, EC10, and NOEC) are all greater than 1000.0 mg/m3 via aqueous exposure, for both reproduction and other risk assessment classes.
- For Mouse, the oral LD50 (acute toxicity) is 1604.0 mg/kg.","OK. The molecule Cotinine (SMILES: CN1[C@@H](CCC1=O)C2=CN=CC=C2) is available and in stock. The best prices are:
- 1 mg for 306 USD (delivery in 26 working days)
- 5 mg for 306 USD (delivery in 26 working days)
- 10 mg for 348 USD (delivery in 26 working days)","Cotinine shows activity against Cytochrome P450 enzymes, Plasmodium falciparum, and electric eel Acetylcholinesterase. It also shows some antibacterial and antifungal activity, and it is a Neuronal acetylcholine receptor agonist. However, it shows minimal activity against horse cholinesterase and SARS-CoV-2.","Cotinine has low toxicity to Inflated Duckweed (EC50, EC25, EC10, NOEC > 1000.0 mg/m3). The oral LD50 for mice is 1604.0 mg/kg.","Cotinine is in stock and available for purchase. Prices range from 306 USD for 1mg or 5mg, to 348 USD for 10mg, with a delivery time of 26 working days.","Enzyme inhibitor, antiplasmodial, antibacterial, antifungal, nAChR agonist","Enzyme inhibitor, Antiparasitic, Antibacterial, Antifungal, nAChR agonist","Low aquatic toxicity, moderate oral toxicity in mice",Mammalian toxicity,"In stock, available, expensive","In stock, expensive","Cotinine exhibits some interesting bioactivity, particularly its antiplasmodial activity. The toxicity data suggests relatively low aquatic toxicity, but moderate oral toxicity in mice. The molecule is available, though expensive. Considering the antiplasmodial activity and the availability of the compound, further investigation may be warranted.",70
Pilocarpine,92-13-7,5910,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C,"Pilocarpine, PubChem CID 5910, has activity data on the following targets: Muscarinic acetylcholine receptor M3, Muscarinic acetylcholine receptor M1, Endothelin receptor ET-A, Saccharomyces cerevisiae, Musca domestica, and SARS-CoV-2.","The toxicity data for Pilocarpine (CAS number 92-13-7) indicates the following:

*   **Rat (oral exposure):** Acute toxicity with an LD50 of 402.0 mg/kg.
*   **Mouse (oral exposure):** Acute toxicity with an LD50 of 119.0 mg/kg.","OK. I have analyzed the availability of the molecule with SMILES CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C.
The compound is in stock. The best prices are:
- 1 mg for 373 USD (delivery time is 35 working days)
- 5 mg for 883 USD (delivery time is 35 working days)
- 10 mg for 883 USD (delivery time is 35 working days)","Pilocarpine shows activity against Muscarinic acetylcholine receptors M3 and M1, Endothelin receptor ET-A (inactive), Saccharomyces cerevisiae, Musca domestica, and SARS-CoV-2.",Pilocarpine exhibits acute toxicity in rats (oral LD50 = 402.0 mg/kg) and mice (oral LD50 = 119.0 mg/kg).,"Pilocarpine is in stock, with 1 mg available for 373 USD, and 5 or 10 mg available for 883 USD, with a delivery time of 35 working days.","Multiple targets, including antimicrobial activity.",Antiviral,Acute oral toxicity.,Mammalian toxicity,"In stock, expensive.","In stock, expensive","Pilocarpine shows activity against a variety of targets, including some antimicrobial activity, but also exhibits significant acute toxicity. The cost of the compound is relatively high and the delivery time is significant. This makes it a less attractive candidate unless the specific activity is highly desirable.",40
2'-Deoxyuridine,951-78-0,13712,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,"2'-Deoxyuridine (PubChem CID: 13712) has a variety of biological activities. Some of the key highlights from the ChEMBL database include:

*   **Antiviral Activity:** It shows anti-Herpes simplex virus type-1 activity with an IC50 of 2.2 nM in Vero cells.
*   **Enzyme Inhibition:** It inhibits horse liver thymidine phosphorylase with a Km of 559000.0 nM.
*   **Thymidine Kinase Inhibition:** It inhibits rat mitochondrial thymidine kinase (74% inhibition) and shows inhibitory activity against thymidine kinase from L1210 cells (93% activity).
*   **Antimicrobial Activity:** It exhibits antimicrobial activity against Streptococcus faecium with an ED50 of 37.0 uM.","I encountered an issue while retrieving the toxicity data for 2'-Deoxyuridine (CAS number 951-78-0) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I will try again later.","The molecule 2'-Deoxyuridine (SMILES: C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O) is potentially purchasable. The best prices available are:
- 1 mg for $375 USD (95% purity, 25 working days delivery time)
- 5 mg for $375 USD (95% purity, 25 working days delivery time)
- 10 mg for $375 USD (95% purity, 25 working days delivery time)","2'-Deoxyuridine shows antiviral activity against Herpes simplex virus type-1, inhibits horse liver thymidine phosphorylase and thymidine kinases, and exhibits antimicrobial activity against Streptococcus faecium.",Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"2'-Deoxyuridine is potentially purchasable, but the price is $375 USD for 1-10 mg with 95% purity and a 25-day delivery time.","Antiviral, enzyme inhibitor, antimicrobial","Antiviral, Enzyme Inhibitor, Antibacterial",Data retrieval failure,No data,"Potentially purchasable, high price","In stock, expensive","2'-Deoxyuridine demonstrates promising antiviral and antimicrobial activities. However, the toxicity data is unavailable. The compound is potentially available, but at a high cost and with a long delivery time.  The missing toxicity data is a concern.",50
(-)-N-Formylcytisine,881022-37-3,179619,C1[C@H]2CN(C[C@@H]1C3=CC=CC(=O)N3C2)C=O,"I have analyzed the provided information for the molecule (-)-N-Formylcytisine (PubChem CID: 179619). According to the ChEMBL database, there is no record of activity data for this molecule.",I encountered an error when trying to fetch the toxicity data for the molecule (-)-N-Formylcytisine with CAS number 881022-37-3. I am unable to provide the toxicity information at this time.,"OK. I found some availability information for the molecule (-)-N-Formylcytisine (SMILES: C1[C@H]2CN(C[C@@H]1C3=CC=CC(=O)N3C2)C=O). It is in stock. The best prices are:

*   37 USD for 1 mg, 95% purity, delivery in 7 working days
*   86 USD for 5 mg, 95% purity, delivery in 7 working days
*   126 USD for 10 mg, 95% purity, delivery in 7 working days

The confirmed amount is 50 mg. Would you like me to search for any other information?",No activity data was found for (-)-N-Formylcytisine in the ChEMBL database.,"An error occurred while retrieving toxicity data, so no toxicity information is available.","(-)-N-Formylcytisine is in stock and available for purchase. Prices range from $37/mg to $126/10mg, with 95% purity and a 7-day delivery time. A confirmed amount of 50mg is available.",No activity data,No data,No data available,No data,In stock,In stock,"The molecule's activity and toxicity are currently unknown due to a lack of data. However, it is readily available. Further investigation is required to assess its potential.",50
